GeoAssetID,OwnerCompanyID,Percentage,CompanyName,Alias
9720,312,1,CNOOC,FALSE
15979,312,0.51,CNOOC,FALSE
16128,312,1,CNOOC,FALSE
16135,312,1,CNOOC,FALSE
16144,312,0.33,CNOOC,FALSE
16146,5015,1,CNOOC Hainan Gas,FALSE
16136,313,1,CNPC,FALSE
16147,313,0.12,CNPC,FALSE
16150,313,1,CNPC,FALSE
16156,313,1,CNPC,FALSE
16166,313,1,CNPC,FALSE
16169,313,1,CNPC,FALSE
16038,313,1,CNPC,FALSE
16084,313,1,CNPC,FALSE
16088,313,1,CNPC,FALSE
9634,313,0.6,CNPC,FALSE
9622,313,0.3,CNPC,FALSE
5020,313,1,CNPC,FALSE
5017,313,0.5,CNPC,FALSE
5010,313,0.5,CNPC,FALSE
5031,313,0.5,CNPC,FALSE
4917,313,1,CNPC,FALSE
4885,320,1,Colas Group,FALSE
4859,335,1,ConocoPhillips,FALSE
4760,342,1,Continental Refining,FALSE
4938,347,1,CORAF,FALSE
5081,357,0.02,Cosmo Oil,FALSE
5245,357,1,Cosmo Oil,FALSE
5256,357,1,Cosmo Oil,FALSE
5240,357,1,Cosmo Oil,FALSE
5247,357,1,Cosmo Oil,FALSE
15994,357,0.02,Cosmo Oil,FALSE
4755,358,1,Countrymark,FALSE
5204,360,1,CPC Corp Taiwan,FALSE
5207,360,1,CPC Corp Taiwan,FALSE
5208,360,1,CPC Corp Taiwan,FALSE
5215,360,1,CPC Corp Taiwan,FALSE
4732,363,1,Cross Oil,FALSE
4769,369,1,Cuba-Petroleo Company,FALSE
4838,369,1,Cuba-Petroleo Company,FALSE
5121,369,0.5,Cuba-Petroleo Company,FALSE
9657,369,1,Cuba-Petroleo Company,FALSE
4699,373,1,CVR Energy,FALSE
4706,373,1,CVR Energy,FALSE
16164,4941,1,Dalian Haichang Group,FALSE
9623,2418,1,DAPSA,FALSE
16158,5008,1,Daqing Lianyi Petrochemical,FALSE
9629,2419,1,Dax Oil,FALSE
4707,395,1,Delek,FALSE
4683,395,1,Delek,FALSE
4733,395,1,Delek,FALSE
4735,395,1,Delek,FALSE
4653,395,1,Delek,FALSE
16060,4942,1,DNO ASA,FALSE
15962,4943,0.0178,Dome Energy,FALSE
16153,5009,1,Dongguan Yelian Petrochemical,FALSE
16050,4944,1,Dongying Hualian Petroleum & Chemical Plant,FALSE
16089,4945,1,Dongying Qirun Chemical,FALSE
16000,4946,1,Ecomar Energy Solutions,FALSE
4806,449,1,Ecopetrol,FALSE
4811,449,1,Ecopetrol,FALSE
4786,449,1,Ecopetrol,FALSE
4801,449,1,Ecopetrol,FALSE
4803,449,1,Ecopetrol,FALSE
16121,449,1,Ecopetrol,FALSE
9659,456,1,EGPC,FALSE
5008,456,1,EGPC,FALSE
5009,456,1,EGPC,FALSE
5015,456,1,EGPC,FALSE
5012,456,1,EGPC,FALSE
5021,456,1,EGPC,FALSE
5018,456,1,EGPC,FALSE
5019,456,1,EGPC,FALSE
7246,472,1,Emirates National Oil,FALSE
4812,475,1,Empresa Nacional del Petroleo,FALSE
4809,475,1,Empresa Nacional del Petroleo,FALSE
4805,475,1,Empresa Nacional del Petroleo,FALSE
5108,479,1,ENAR Petrotech Services,FALSE
4930,491,1,ENI,FALSE
4952,491,0.08,ENI,FALSE
4944,491,1,ENI,FALSE
4919,491,1,ENI,FALSE
4953,491,1,ENI,FALSE
4961,491,0.5,ENI,FALSE
4966,491,1,ENI,FALSE
9664,491,0.2,ENI,FALSE
4932,1596,1,Equinor,FALSE
9682,1596,1,Equinor,FALSE
16078,506,0.05,Ergon,FALSE
4777,506,1,Ergon,FALSE
4738,506,1,Ergon,FALSE
5080,529,0.1,ExxonMobil,FALSE
5169,529,1,ExxonMobil,FALSE
4956,529,1,ExxonMobil,FALSE
4918,529,0.74,ExxonMobil,FALSE
4931,529,1,ExxonMobil,FALSE
5033,529,0.5,ExxonMobil,FALSE
5036,529,0.5,ExxonMobil,FALSE
4873,529,1,ExxonMobil,FALSE
4882,529,1,ExxonMobil,FALSE
4895,529,1,ExxonMobil,FALSE
4915,529,0.25,ExxonMobil,FALSE
4900,529,1,ExxonMobil,FALSE
4897,529,1,ExxonMobil,FALSE
4737,529,1,ExxonMobil,FALSE
4751,529,1,ExxonMobil,FALSE
4730,529,0.14,ExxonMobil,FALSE
4718,529,1,ExxonMobil,FALSE
4714,529,1,ExxonMobil,FALSE
4668,529,1,ExxonMobil,FALSE
9698,529,1,ExxonMobil,FALSE
5261,529,1,ExxonMobil,FALSE
5080,529,0.1,Exxon,TRUE
5169,529,1,Exxon,TRUE
4956,529,1,Exxon,TRUE
4918,529,0.74,Exxon,TRUE
4931,529,1,Exxon,TRUE
5033,529,0.5,Exxon,TRUE
5036,529,0.5,Exxon,TRUE
4873,529,1,Exxon,TRUE
4882,529,1,Exxon,TRUE
4895,529,1,Exxon,TRUE
4915,529,0.25,Exxon,TRUE
4900,529,1,Exxon,TRUE
4897,529,1,Exxon,TRUE
4737,529,1,Exxon,TRUE
4751,529,1,Exxon,TRUE
4730,529,0.14,Exxon,TRUE
4718,529,1,Exxon,TRUE
4714,529,1,Exxon,TRUE
4668,529,1,Exxon,TRUE
9698,529,1,Exxon,TRUE
5261,529,1,Exxon,TRUE
9658,2420,1,Falcondo,FALSE
4678,2421,1,Federated Co-operatives Limited,FALSE
4693,2422,1,Flint Hills,FALSE
4729,2422,1,Flint Hills,FALSE
4654,550,1,Foreland Refining,FALSE
5205,551,1,Formosa Plastics,FALSE
5102,2423,1,ForteInvest,FALSE
16141,5010,1,Foshan Sanshui Futeng Asphalt,FALSE
16087,5011,1,Foshan Sanshui Haishengda Road Material,FALSE
5253,561,1,Fuji Oil Company,FALSE
15961,5012,1,Gaetano LLC,FALSE
4854,566,1,Galp Energia,FALSE
4855,566,1,Galp Energia,FALSE
16133,5013,1,Gaoqing Hongyuan Petrochemical,FALSE
5062,570,1,Gazprom,FALSE
5117,570,1,Gazprom,FALSE
5120,570,1,Gazprom,FALSE
5093,570,1,Gazprom,FALSE
5032,570,1,Gazprom,FALSE
4977,570,1,Gazprom,FALSE
4978,570,1,Gazprom,FALSE
15967,570,0.5,Gazprom,FALSE
9613,2424,1,Ghazanfar Group,FALSE
9633,2425,1,Gibson Energy,FALSE
4969,585,0.75,Glencore,FALSE
9710,2426,1,Goodway Refining,FALSE
9616,2427,0.15,Government of Albania,FALSE
5010,2428,0.5,Government of Sudan,FALSE
16004,4947,0.3333,Greenergy International,FALSE
4643,615,1,Greka Energy,FALSE
4971,618,1,Grupa Lotos,FALSE
5227,624,1,GS Caltex,FALSE
5212,626,1,Guan Sheng Group ,FALSE
16049,4948,1,Guangdong Tianyi Group,FALSE
16071,4949,1,Guangzhou Huahong Oil,FALSE
15984,5014,1,Guangzhou Jiasheng Asphalt,FALSE
16062,4689,1,Gulf Petrochemical Industries Company,FALSE
4935,641,1,Gunvor,FALSE
4893,641,1,Gunvor,FALSE
4928,642,1,H & R Group,FALSE
16101,642,1,H & R Group,FALSE
16069,4950,0.49,Haike Chemical Group,FALSE
16075,5016,1,Hangzhou Xinya Petrochemical,FALSE
5230,647,0.5,Hanjin,FALSE
16005,654,0.5,Hanwha,FALSE
16117,5017,0.2,HBOil,FALSE
16100,4951,1,HCS Group,FALSE
16161,5018,1,Hebei Dagang PetroChemical,FALSE
16130,5019,1,Hebei Jinrui Petroleum & Chemical,FALSE
16092,5020,1,Hebei Refinery Huayou Paraffin,FALSE
16113,5021,1,Hebei Refinery Huayu Bitumen Products,FALSE
16154,5022,1,Hebei Xinquan Petroleum & Chemical,FALSE
4981,660,1,Hellenic Petroleum,FALSE
4985,660,1,Hellenic Petroleum,FALSE
4988,660,1,Hellenic Petroleum,FALSE
4989,660,1,Hellenic Petroleum,FALSE
16083,5023,1,Henan Beili Petrochemical Holding,FALSE
16162,4952,1,Hengli Petrochemical,FALSE
16003,665,1,Hess,FALSE
5115,670,1,Hindustan Petroleum,FALSE
5137,670,1,Hindustan Petroleum,FALSE
4677,677,1,HollyFrontier,FALSE
4662,677,1,HollyFrontier,FALSE
4679,677,1,HollyFrontier,FALSE
4704,677,1,HollyFrontier,FALSE
4702,677,1,HollyFrontier,FALSE
16159,5024,1,Hong Kong Bora Holdings,FALSE
5123,684,1,HPCL-Mittal Energy Limited,FALSE
4757,689,1,Hunt Oil,FALSE
4749,689,1,Hunt Oil,FALSE
4761,691,1,Husky Energy,FALSE
4763,691,0.5,Husky Energy,FALSE
4665,691,1,Husky Energy,FALSE
4633,691,1,Husky Energy,FALSE
5224,695,1,Hyundai Oilbank,FALSE
5248,701,1,Idemitsu,FALSE
5236,701,1,Idemitsu,FALSE
5254,701,1,Idemitsu,FALSE
5259,701,1,Idemitsu,FALSE
15994,701,0.02,Idemitsu,FALSE
9684,2430,1,Ilsky Refinery,FALSE
4655,708,1,Imperial Oil,FALSE
4768,708,1,Imperial Oil,FALSE
4778,708,1,Imperial Oil,FALSE
4825,708,1,Imperial Oil,FALSE
4963,712,1,INA,FALSE
4955,712,1,INA,FALSE
5004,2431,1,Indeni Petroleum Refinery,FALSE
5125,718,1,Indian Oil,FALSE
5127,718,1,Indian Oil,FALSE
5119,718,1,Indian Oil,FALSE
5147,718,1,Indian Oil,FALSE
5148,718,1,Indian Oil,FALSE
5142,718,1,Indian Oil,FALSE
5143,718,1,Indian Oil,FALSE
5145,718,1,Indian Oil,FALSE
5153,718,1,Indian Oil,FALSE
4901,721,1,Ineos,FALSE
4868,721,0.5,Ineos,FALSE
16098,2234,1,Inpex,FALSE
9626,2432,1,IOR,FALSE
4836,2433,1,Ipiranga,FALSE
4920,750,1,Iplom,FALSE
5055,755,1,Iraq National Oil Company,FALSE
5051,755,1,Iraq National Oil Company,FALSE
5052,755,1,Iraq National Oil Company,FALSE
5047,755,1,Iraq National Oil Company,FALSE
5061,755,1,Iraq National Oil Company,FALSE
9719,755,1,Iraq National Oil Company,FALSE
9668,755,1,Iraq National Oil Company,FALSE
9669,755,1,Iraq National Oil Company,FALSE
9670,755,1,Iraq National Oil Company,FALSE
9671,755,1,Iraq National Oil Company,FALSE
9672,755,1,Iraq National Oil Company,FALSE
9673,755,1,Iraq National Oil Company,FALSE
5162,757,1,IRPC,FALSE
4817,758,1,Irving,FALSE
4623,2434,1,Island Energy,FALSE
16091,5025,1,Jieyang Kangda Chemical Industry,FALSE
16064,5026,1,Jinao (Hubei) Science & Technology Chemical Industry,FALSE
16069,4954,0.255,Jindayuan Real Estate,FALSE
16157,5027,1,Jinhai Hongye (Zhenjiang) Petrochemical,FALSE
16070,5028,1,Jiyang Guangyuanfa Asphalt,FALSE
5028,788,1,Jordan Petroleum Refinery,FALSE
15988,4955,1,Jukonoil,FALSE
5257,793,1,JX Nippon Oil,FALSE
5258,793,1,JX Nippon Oil,FALSE
5255,793,1,JX Nippon Oil,FALSE
5252,793,1,JX Nippon Oil,FALSE
5237,793,1,JX Nippon Oil,FALSE
5235,793,1,JX Nippon Oil,FALSE
5250,793,1,JX Nippon Oil,FALSE
5242,793,1,JX Nippon Oil,FALSE
5239,793,1,JX Nippon Oil,FALSE
5244,793,1,JX Nippon Oil,FALSE
15986,793,1,JX Nippon Oil,FALSE
9612,2435,1,Kam International,FALSE
16177,4956,1,KAT Group,FALSE
9678,2437,1,KBC,FALSE
4645,814,1,Kern Oil & Refining,FALSE
5241,2438,1,Khabarovsk,FALSE
5017,2439,0.5,Khartoum Refinery,FALSE
16170,4957,1,Khasan,FALSE
16127,4957,1,Khasan,FALSE
9703,818,1,Kinder Morgan,FALSE
4922,822,1,Klesch,FALSE
4835,823,1,KNOC,FALSE
4698,829,1,Koch,FALSE
16057,829,1,Koch,FALSE
15959,5029,1,Kondinsky Refinery,FALSE
4891,840,1,Kuwait Petroleum,FALSE
4961,840,0.5,Kuwait Petroleum,FALSE
5063,840,1,Kuwait Petroleum,FALSE
5064,840,1,Kuwait Petroleum,FALSE
5065,840,1,Kuwait Petroleum,FALSE
9676,2440,1,Kyrgyzneft,FALSE
16147,4958,0.88,Li & Fung,FALSE
16046,5030,1,Liaoning Deying PetroChemical Group,FALSE
16043,5031,1,Liaoning Huayou Petrochemical,FALSE
16053,4959,1,Liaozhong County Refinery,FALSE
16103,4960,1,Lihuayi Group,FALSE
16114,5032,1,Lingang Huarun Asphalt,FALSE
5098,891,1,Lukoil,FALSE
5089,891,1,Lukoil,FALSE
4957,891,1,Lukoil,FALSE
4959,891,1,Lukoil,FALSE
4960,891,1,Lukoil,FALSE
5050,891,1,Lukoil,FALSE
5053,891,1,Lukoil,FALSE
5011,891,1,Lukoil,FALSE
4992,891,1,Lukoil,FALSE
5000,891,1,Lukoil,FALSE
4889,891,0.5,Lukoil,FALSE
9692,891,1,Lukoil,FALSE
9693,891,1,Lukoil,FALSE
16173,897,1,Lyondellbasell,FALSE
4709,897,1,Lyondellbasell,FALSE
16173,897,1,Lyondell,TRUE
4709,897,1,Lyondell,TRUE
9706,906,1,Magellan Midstream Partners,FALSE
5122,2108,1,Mangalore Refinery and Petrochemicals,FALSE
4798,914,1,Maple Energy,FALSE
4715,919,1,Marathon Petroleum,FALSE
4716,919,1,Marathon Petroleum,FALSE
4770,919,1,Marathon Petroleum,FALSE
4764,919,1,Marathon Petroleum,FALSE
4765,919,1,Marathon Petroleum,FALSE
4756,919,1,Marathon Petroleum,FALSE
4740,919,1,Marathon Petroleum,FALSE
15994,932,0.01,Marubeni,FALSE
9660,2012,1,Midor,FALSE
16106,5033,1,Mingyuan Chemical,FALSE
5031,964,0.5,Ministry of Energy and Mining of Sudan,FALSE
15994,970,0.01,Mitsui,FALSE
16174,980,1,MOL,FALSE
4965,980,1,MOL,FALSE
4972,980,1,MOL,FALSE
4792,985,1,Monroe Energy,FALSE
4741,992,1,Motiva,FALSE
4739,992,1,Motiva,FALSE
4720,992,1,Motiva,FALSE
4986,993,1,Motor Oil Hellas,FALSE
5151,1005,1,Myanmar Petrochemical Enterprise,FALSE
5152,1005,1,Myanmar Petrochemical Enterprise,FALSE
9679,1005,1,Myanmar Petrochemical Enterprise,FALSE
5002,1007,1,Naftan,FALSE
16118,4961,1,Naftogaz of Ukraine,FALSE
16125,5034,1,Naftrason,FALSE
5057,1025,1,National Iranian Oil,FALSE
5059,1025,1,National Iranian Oil,FALSE
5094,1025,1,National Iranian Oil,FALSE
5066,1025,1,National Iranian Oil,FALSE
5069,1025,1,National Iranian Oil,FALSE
5077,1025,1,National Iranian Oil,FALSE
5078,1025,1,National Iranian Oil,FALSE
5084,1025,1,National Iranian Oil,FALSE
5087,1025,1,National Iranian Oil,FALSE
15996,1025,0.179,National Iranian Oil,FALSE
15993,1025,1,National Iranian Oil,FALSE
4990,1026,1,National Oil Corporation,FALSE
4975,1026,1,National Oil Corporation,FALSE
4970,1026,1,National Oil Corporation,FALSE
4980,1026,1,National Oil Corporation,FALSE
4946,1026,1,National Oil Corporation,FALSE
5109,2445,1,National Refinery Limited,FALSE
4871,510,1,Nayara,FALSE
5112,510,1,Nayara,FALSE
5037,2444,1,NefteGazIndustriya,FALSE
7138,2093,1,Neopetro,FALSE
4983,1047,1,Neste,FALSE
4993,1047,1,Neste,FALSE
15990,1047,0.25,Neste,FALSE
9685,1054,1,New Stream Group,FALSE
5106,1054,1,New Stream Group,FALSE
4829,1062,0.5,Nidera Argentina SA,FALSE
16006,4962,1,Niger Delta Petroleum Resources,FALSE
4904,1067,1,Nigerian National Petroleum,FALSE
4912,1067,1,Nigerian National Petroleum,FALSE
4914,1067,1,Nigerian National Petroleum,FALSE
16184,4963,0.3,Nile Petroleum,FALSE
15965,3663,1,Noble Group,FALSE
15952,3663,1,Noble Group,FALSE
16179,5035,1,North Refineries,FALSE
16176,5035,1,North Refineries,FALSE
9686,1102,1,Novatek,FALSE
5150,1105,1,Numaligarh Refinery,FALSE
4773,1106,1,NuStar,FALSE
4870,1112,1,Nynas,FALSE
4929,1112,1,Nynas,FALSE
4967,1112,1,Nynas,FALSE
9697,1112,1,Nynas,FALSE
16186,5036,1,Oil & Gas Development,FALSE
5136,1138,1,Oil and Natural Gas Corporation Limited,FALSE
4624,2446,1,Oil Combustibles S.A.,FALSE
4894,1144,1,OilTanking,FALSE
5100,1151,1,Oman Refineries And Petrochemicals,FALSE
5101,1151,1,Oman Refineries And Petrochemicals,FALSE
6958,1151,1,Oman Refineries And Petrochemicals,FALSE
4994,1159,1,OMV,FALSE
4964,1159,1,OMV,FALSE
4947,1159,1,OMV,FALSE
4819,2448,1,Oro Negro,FALSE
5243,1175,1,Osaka Gas,FALSE
5110,1188,1,Pakistan Arab Refinery Company,FALSE
5114,1188,1,Pakistan Arab Refinery Company,FALSE
4828,2450,1,Pampa Energia,FALSE
16151,5037,1,Panjin Hongye Group,FALSE
16080,5038,1,Panjin Liaotong Chemical,FALSE
16109,5039,1,Panjin Taipinghe Asphalt,FALSE
16074,5040,1,Panjin Xingda Group,FALSE
16111,5041,1,Panlong Petrochemical,FALSE
4625,1204,1,Par Pacific Holdings,FALSE
4680,1204,1,Par Pacific Holdings,FALSE
4962,2452,1,Paramo,FALSE
