id,initial,match,type
4701,Ponca City Refinery,ponca city,refname
4701,Ponca City Refinery,poncacity,refname
4702,El Dorado Refinery (Hollyfrontier),el dorado,refname
4702,El Dorado Refinery (Hollyfrontier),eldorado,refname
4703,Alcoa Point Comfort Alumina Refinery,alcoa point comfort alumina,refname
4704,Tulsa Refinery (HollyFrontier Corp),tulsa,refname
4705,Sweeny Refinery,sweeny,refname
4706,Coffeyville Resources Refinery ( Coop Refinery),coffeyville resources,refname
4706,Coffeyville Resources Refinery ( Coop Refinery),coffeyvilleresources,refname
4707,Tyler Refinery,tyler,refname
4708,Houston Refinery (Valero),houston,refname
4709,Houston Refinery (Lyondell),houston,refname
4710,Pasadena Refinery,pasadena,refname
4711,Chocolate Bayou Refinery,chocolate bayou,refname
4711,Chocolate Bayou Refinery,chocolatebayou,refname
4712,Shell Deer Park Refinery,shell deer park,refname
4712,Shell Deer Park Refinery,shelldeerpark,refname
4712,Shell Deer Park Refinery,shelldeer,refname
4713,Lyondell-Citgo Refining (Lcr) - Houston Refinery,lyondell-citgo  - houston,refname
4714,Baytown Refinery,baytown,refname
4715,Marathon Galveston Bay Refinery,marathon galveston bay,refname
4715,Marathon Galveston Bay Refinery,marathongalvestonbay,refname
4715,Marathon Galveston Bay Refinery,marathongalveston,refname
4716,Marathon Texas City Refinery,marathon texas city,refname
4716,Marathon Texas City Refinery,marathontexascity,refname
4716,Marathon Texas City Refinery,marathontexas,refname
4717,Valero Texas City Refinery,valero texas city,refname
4717,Valero Texas City Refinery,valerotexascity,refname
4717,Valero Texas City Refinery,valerotexas,refname
4718,Beaumont Refinery,beaumont,refname
4719,Port Arthur Refinery (Valero),port arthur,refname
4719,Port Arthur Refinery (Valero),portarthur,refname
4720,Port Arthur Refinery (Motiva),port arthur,refname
4720,Port Arthur Refinery (Motiva),portarthur,refname
4721,Isla Refinery,isla,refname
4722,Port Arthur Refinery (Total),port arthur,refname
4722,Port Arthur Refinery (Total),portarthur,refname
4723,Shreveport Refinery,shreveport,refname
4724,Princeton Refinery,princeton,refname
4725,Cotton Valley Refinery,cotton valley,refname
4725,Cotton Valley Refinery,cottonvalley,refname
4726,Lake Charles Refinery (Citgo),lake charles,refname
4726,Lake Charles Refinery (Citgo),lakecharles,refname
4727,Calcasieu Lake Charles Refinery,calcasieu lake charles,refname
4727,Calcasieu Lake Charles Refinery,calcasieulakecharles,refname
4727,Calcasieu Lake Charles Refinery,calcasieulake,refname
4728,Lake Charles Refinery (Phillips 66),lake charles,refname
4728,Lake Charles Refinery (Phillips 66),lakecharles,refname
4729,Pine Bend Refinery,pine bend,refname
4729,Pine Bend Refinery,pinebend,refname
4730,Fort De France Refinery,fort de france,refname
4730,Fort De France Refinery,fortdefrance,refname
4730,Fort De France Refinery,fortde,refname
4731,Saint Paul Park Refinery,saint paul park,refname
4731,Saint Paul Park Refinery,saintpaulpark,refname
4731,Saint Paul Park Refinery,saintpaul,refname
4732,Smackover Refinery,smackover,refname
4733,El Dorado Refinery (Delek),el dorado,refname
4733,El Dorado Refinery (Delek),eldorado,refname
4734,Calumet Superior Oil Refinery,calumet superior oil,refname
4734,Calumet Superior Oil Refinery,calumetsuperioroil,refname
4734,Calumet Superior Oil Refinery,calumetsuperior,refname
4735,Krotz Springs Refinery,krotz springs,refname
4735,Krotz Springs Refinery,krotzsprings,refname
4736,Port Allen Refinery,port allen,refname
4736,Port Allen Refinery,portallen,refname
4737,Baton Rouge Refinery,baton rouge,refname
4737,Baton Rouge Refinery,batonrouge,refname
4738,Vicksburg Refinery,vicksburg,refname
4739,Convent Refinery,convent,refname
4740,Garyville Refinery,garyville,refname
4741,Norco Refinery,norco,refname
4742,Saint Charles Refinery,saint charles,refname
4742,Saint Charles Refinery,saintcharles,refname
4743,Wood River Refinery,wood river,refname
4743,Wood River Refinery,woodriver,refname
4744,Memphis Refinery (Premcor),memphis,refname
4745,Alliance Refinery (Or Belle Chasse),alliance,refname
4746,Chalmette Refinery,chalmette,refname
4747,Meraux Refinery,meraux,refname
4748,Refineria Petrolera Acajutla R.a.s.a,petrolera acajutla r.a.s.a,refname
4748,Refineria Petrolera Acajutla R.a.s.a,petroleraacajutlar.a.s.a,refname
4748,Refineria Petrolera Acajutla R.a.s.a,petroleraacajutla,refname
4749,Sandersville - Hunt Southland Refinery,sandersville - hunt southland,refname
