GeoAssetID,GeoAssetName,Latitude,Longitude,CapacityMillionTonnesPerAnnum,CapacityKiloBarrelsPerDay,City,FromDate,ToDate
4664,Evanston Refinery,41.261308,-110.805969,0.20,3.40,Evanston,1989-01-01,
4665,Lloydminster Refinery,53.263962,-109.945689,1.40,29.00,Lloydminster,1947-01-01,
4666,Laurel Refinery,45.65936,-108.763062,2.90,59.60,Laurel,1930-01-01,
4667,Billings Refinery (Phillips 66),45.782685,-108.488497,3.00,58.00,Billings,1949-01-01,2012-12-31
4667,Billings Refinery (Phillips 66),45.782685,-108.488497,3.00,61.50,Billings,2013-01-01,
4668,Billings Refinery (Exxon),45.815402,-108.435977,3.00,58.00,Billings,1949-01-01,2012-12-31
4668,Billings Refinery (Exxon),45.815402,-108.435977,3.00,61.50,Billings,2013-01-01,
4669,Gallup Refinery,35.489989,-108.427537,1.00,21.00,Gallup,1957-01-01,2013-12-31
4669,Gallup Refinery,35.489989,-108.427537,1.30,25.50,Gallup,2014-01-01,2015-12-31
4669,Gallup Refinery,35.489989,-108.427537,1.40,26.60,Gallup,2016-01-01,2020-09-01
4670,Sinclair Wyoming Refinery,41.781856,-107.109025,4.20,75.00,Evansville,1924-01-01,2014-12-31
4670,Sinclair Wyoming Refinery,41.781856,-107.109025,4.20,85.00,Evansville,2015-01-01,
4671,El Paso Refinery,31.770413,-106.404805,6.20,128.00,El Paso,1928-01-01,2013-12-31
4671,El Paso Refinery,31.770413,-106.404805,6.60,135.00,El Paso,2014-01-01,
4672,El Paso (South) Refinery,31.764772,-106.389405,,,,,
4673,Sinclair Casper Refinery,42.858902,-106.244515,1.25,24.50,Evansville,1923-01-01,2013-12-31
4674,Douglas Refinery,43.01988,-105.260849,0.40,4.00,Douglas,2008-01-01,2016-11-30
4675,Suncor Commerce City Refinery,39.804717,-104.948884,5.00,103.00,Denver,1931-01-01,
4677,Cheyenne Refinery,41.127723,-104.789984,2.40,48.00,Cheyenne,1934-01-01,2020-09-01
4678,Regina Ccrl Refinery Complex,50.487439,-104.571983,5.50,100.00,Regina,1935-01-01,2012-12-31
4678,Regina Ccrl Refinery Complex,50.487439,-104.571983,6.70,135.00,Regina,2013-01-01,
4679,Navajo- Artesia Refinery,32.847565,-104.391668,4.80,98.00,Artesia,1969-01-01,2018-12-31
4679,Navajo- Artesia Refinery,32.847565,-104.391668,5.50,115.00,Artesia,2019-01-01,
4680,Newcastle Refinery,43.850688,-104.213968,0.70,14.00,New Castle,1927-01-01,2015-12-31
4680,Newcastle Refinery,43.850688,-104.213968,0.90,18.00,New Castle,2016-01-01,
4681,Dakota Prairie Refinery,46.859983,-102.890116,1.00,19.50,Dickinson,2015-01-01,
4682,Mckee Refinery,35.954815,-101.879591,8.40,170.00,Sunray,1933-01-01,2015-09-30
4682,Mckee Refinery,35.954815,-101.879591,9.60,195.00,Sunray,2015-10-01,
4683,Big Spring Refinery,32.269193,-101.413377,3.30,67.00,Big Spring,1929-01-01,2014-12-31
4683,Big Spring Refinery,32.269193,-101.413377,3.60,73.00,Big Spring,2015-01-01,
4684,Borger Refinery(Phillips 66),35.693794,-101.367801,7.25,146.00,Borger,1927-01-01,
4685,Salamanca Refinery,20.576969,-101.182395,12.20,245.00,Salamanca,1950-01-01,2013-12-31
4685,Salamanca Refinery,20.576969,-101.182395,11.00,220.00,Salamanca,2014-01-01,
4686,Mandan Refinery,46.846878,-100.888448,3.00,58.00,Mandan,1954-01-01,2011-12-31
4686,Mandan Refinery,46.846878,-100.888448,3.50,68.00,Mandan,2012-01-01,2012-12-31
4686,Mandan Refinery,46.846878,-100.888448,3.20,74.00,Mandan,2013-01-01,
4687,Refineria Cadereyta,25.591868,-99.946272,13.60,275.00,Cadereyta,1979-01-01,
4688,Refineria Miguel Hidalgo,20.048615,-99.282775,15.50,315.00,Tula Hidalgo,1977-01-01,
4689,San Antonio Refinery,29.347946,-98.460628,1.00,15.00,San Antonio,1955-01-01,2015-12-31
4689,San Antonio Refinery,29.347946,-98.460628,1.00,20.00,San Antonio,2016-01-01,
4690,Three Rivers Refinery,28.457372,-98.185536,4.65,93.00,Three Rivers,1974-01-01,2014-12-31
4690,Three Rivers Refinery,28.457372,-98.185536,4.40,89.00,Three Rivers,2015-01-01,
4691,Nixon Refinery,29.261665,-97.786596,0.70,13.80,Nixon,1981-01-01,
4692,Ncra Mcpherson Refinery,38.34397,-97.674899,4.20,85.00,Mcpherson,1933-01-01,2016-12-31
4692,Ncra Mcpherson Refinery,38.34397,-97.674899,5.00,100.00,Mcpherson,2017-01-01,
4693,Corpus Christi Refinery Plant (Flint Hills),27.83775,-97.52581,14.60,296.00,Corpus Christi,1952-01-01,2016-12-31
4693,Corpus Christi Refinery Plant (Flint Hills),27.83775,-97.52581,14.60,330.00,Corpus Christi,2017-01-01,2019-12-31
4693,Corpus Christi Refinery Plant (Flint Hills),27.83775,-97.52581,11.60,265.00,Corpus Christi,2020-01-01,
4694,Corpus Christi Bill Greehey Refinery West (Valero),27.81761,-97.48615,5.80,102.50,Corpus Christi,1983-01-01,2017-12-31
4694,Corpus Christi Bill Greehey Refinery West (Valero),27.81761,-97.48615,12.00,125.00,Corpus Christi,2018-01-01,
4695,Corpus Christi Bill Greehey Refinery East (Valero),27.81145,-97.43886,5.80,102.50,Corpus Christi,2001-01-01,2017-12-31
4695,Corpus Christi Bill Greehey Refinery East (Valero),27.81145,-97.43886,4.80,125.00,Corpus Christi,2018-01-01,
4696,Thomas Refinery,35.478259,-97.431694,0.60,12.00,,1900-01-01,2014-10-31
4697,Corpus Christi Refinery (Citgo),27.80964,-97.42695,7.80,157.00,Corpus Christi,1935-01-01,2016-12-31
4697,Corpus Christi Refinery (Citgo),27.80964,-97.42695,9.00,183.50,Corpus Christi,2017-01-01,
4698,Corpus Christi Refinery East Plant (Flint Hills),27.80704,-97.42242,,73.50,,2020-01-01,
4699,Wynnewood Ok Refinery,34.629527,-97.166186,3.50,70.00,Wynnewood,1923-01-01,2017-12-31
4699,Wynnewood Ok Refinery,34.629527,-97.166186,3.50,75.00,Wynnewood,2018-01-01,
4700,Ardmore Refinery,34.204669,-97.105656,4.20,86.00,Ardmore,1913-01-01,
4701,Ponca City Refinery,36.689713,-97.095421,9.50,187.00,Ponca City,1914-01-01,2013-12-31
4701,Ponca City Refinery,36.689713,-97.095421,10.00,200.00,Ponca City,2014-01-01,2017-12-31
4701,Ponca City Refinery,36.689713,-97.095421,10.50,202.00,Ponca City,2018-01-01,
4702,El Dorado Refinery (Hollyfrontier),37.79728,-96.874854,6.80,125.00,El Dorado,1917-01-01,2017-12-31
4702,El Dorado Refinery (Hollyfrontier),37.79728,-96.874854,8.00,135.00,El Dorado,2018-01-01,
4703,Alcoa Point Comfort Alumina Refinery,28.65026,-96.5548,,0.00,,1900-01-01,
4704,Tulsa Refinery (HollyFrontier Corp),36.116296,-96.006914,11.10,125.00,Tulsa,2011-01-01,
4705,Sweeny Refinery,29.074588,-95.749809,12.20,247.00,Sweeny,1942-01-01,2016-12-31
4705,Sweeny Refinery,29.074588,-95.749809,12.70,250.00,Sweeny,2017-01-01,2018-12-31
4705,Sweeny Refinery,29.074588,-95.749809,13.00,260.00,Sweeny,2019-01-01,
4706,Coffeyville Resources Refinery ( Coop Refinery),37.04797,-95.602743,5.70,115.00,Coffeyville,1906-01-01,2016-12-31
4706,Coffeyville Resources Refinery ( Coop Refinery),37.04797,-95.602743,6.50,132.00,Coffeyville,2017-01-01,
4707,Tyler Refinery,32.362803,-95.280583,3.00,60.00,Tyler,1955-01-01,2014-12-31
4707,Tyler Refinery,32.362803,-95.280583,3.75,75.00,Tyler,2015-01-01,
4708,Houston Refinery (Valero),29.72246,-95.2549,5.00,100.00,Houston,1942-01-01,2017-12-31
4708,Houston Refinery (Valero),29.72246,-95.2549,8.00,160.00,Houston,2018-01-01,
4709,Houston Refinery (Lyondell),29.71403,-95.23546,14.50,292.00,Houston,1918-01-01,
4710,Pasadena Refinery,29.72592,-95.20625,5.00,100.00,Pasadena,1920-01-01,2014-12-31
4710,Pasadena Refinery,29.72592,-95.20625,5.50,110.00,Pasadena,2015-01-01,2016-12-31
4710,Pasadena Refinery,29.72592,-95.20625,6.00,120.00,Pasadena,2017-01-01,
4711,Chocolate Bayou Refinery,29.232486,-95.194272,,,,,
4712,Shell Deer Park Refinery,29.720136,-95.127564,14.00,280.00,Deer Park,1929-01-01,2016-12-31
4712,Shell Deer Park Refinery,29.720136,-95.127564,17.00,340.00,Deer Park,2017-01-01,
4713,Lyondell-Citgo Refining (Lcr) - Houston Refinery,29.832984,-95.118386,,,,,
4714,Baytown Refinery,29.74023,-95.01122,27.60,561.00,Baytown,1920-01-01,
4715,Marathon Galveston Bay Refinery,29.37047,-94.9293,12.60,475.00,Galveston Bay,1934-01-01,2012-12-31
4715,Marathon Galveston Bay Refinery,29.37047,-94.9293,12.00,459.00,Galveston Bay,2013-01-01,2015-12-31
4715,Marathon Galveston Bay Refinery,29.37047,-94.9293,17.60,570.00,Galveston Bay,2016-01-01,2018-12-31
4715,Marathon Galveston Bay Refinery,29.37047,-94.9293,18.20,585.00,Galveston Bay,2019-01-01,
4716,Marathon Texas City Refinery,29.37597,-94.90917,4.20,86.00,Texas City,1931-01-01,2017-12-31
4717,Valero Texas City Refinery,29.36976,-94.90342,11.10,225.00,Texas City,1908-01-01,
4718,Beaumont Refinery,30.067485,-94.069724,18.80,345.00,Beaumont,1903-01-01,2015-12-31
4718,Beaumont Refinery,30.067485,-94.069724,20.00,369.00,Beaumont,2016-01-01,
4719,Port Arthur Refinery (Valero),29.865694,-93.963315,14.50,290.00,Port Arthur,1901-01-01,2013-12-31
4719,Port Arthur Refinery (Valero),29.865694,-93.963315,16.00,335.00,Port Arthur,2014-01-01,
4720,Port Arthur Refinery (Motiva),29.8862,-93.96315,13.50,275.00,Port Arthur,1903-01-01,2012-04-30
4720,Port Arthur Refinery (Motiva),29.8862,-93.96315,29.70,603.00,Port Arthur,2012-05-01,2016-12-31
4720,Port Arthur Refinery (Motiva),29.8862,-93.96315,15.00,635.00,Port Arthur,2017-01-01,
4721,Isla Refinery,12.130643,-68.925942,16.30,335.00,Willemstad,1918-01-01,
4722,Port Arthur Refinery (Total),29.96051,-93.88959,11.10,230.00,Port Arthur,1936-01-01,
4723,Shreveport Refinery,32.467872,-93.792522,3.00,57.00,Shreveport,1900-01-01,
4724,Princeton Refinery,32.589593,-93.513466,0.50,8.30,Princeton,1953-01-01,
4725,Cotton Valley Refinery,32.798898,-93.411312,0.60,13.50,Cotton Valley,1900-01-01,
4726,Lake Charles Refinery (Citgo),30.18067,-93.33014,21.00,425.00,Lake Charles,1944-01-01,2016-12-31
4726,Lake Charles Refinery (Citgo),30.18067,-93.33014,21.80,440.00,Lake Charles,2017-01-01,
4727,Calcasieu Lake Charles Refinery,30.13567,-93.319759,3.00,80.00,Lake Charles,1978-01-01,2013-12-31
4727,Calcasieu Lake Charles Refinery,30.13567,-93.319759,3.50,90.00,Lake Charles,2014-01-01,2017-12-31
4727,Calcasieu Lake Charles Refinery,30.13567,-93.319759,6.25,110.00,Lake Charles,2018-01-01,
4728,Lake Charles Refinery (Phillips 66),30.24187,-93.27388,11.80,239.00,Westlake,1941-01-01,2014-12-31
4728,Lake Charles Refinery (Phillips 66),30.24187,-93.27388,12.30,249.00,Westlake,2015-01-01,
4729,Pine Bend Refinery,44.769079,-93.04159,15.50,320.00,Pine Blend,1955-01-01,2013-12-31
4729,Pine Bend Refinery,44.769079,-93.04159,16.50,320.00,Pine Blend,2014-01-01,
4730,Fort De France Refinery,14.608439,-61.030953,0.80,17.00,Fort de France,1971-01-01,
4731,Saint Paul Park Refinery,44.850264,-93.000338,3.80,74.00,Saint Paul,1939-01-01,2011-12-31
4731,Saint Paul Park Refinery,44.850264,-93.000338,5.00,100.00,Saint Paul,2012-01-01,2018-12-31
4731,Saint Paul Park Refinery,44.850264,-93.000338,3.80,103.00,Saint Paul,2019-01-01,
4732,Smackover Refinery,33.363998,-92.714274,0.40,7.50,Smackover,1923-01-01,
4733,El Dorado Refinery (Delek),33.200552,-92.675203,4.10,83.00,El Dorado,1922-01-01,
4734,Calumet Superior Oil Refinery,46.691556,-92.069881,1.90,38.00,Superior,1951-01-01,2010-12-31
4735,Krotz Springs Refinery,30.526565,-91.748735,4.00,80.00,Krotz Springs,1980-01-01,
4736,Port Allen Refinery,30.476259,-91.20661,2.70,57.00,Port Allen,1975-01-01,2014-12-31
4736,Port Allen Refinery,30.476259,-91.20661,3.70,70.00,Port Allen,2015-01-01,2018-12-31
4736,Port Allen Refinery,30.476259,-91.20661,4.20,80.00,Port Allen,2019-01-01,
4737,Baton Rouge Refinery,30.48311,-91.17777,24.80,503.00,Baton Rouge,1909-01-01,
4738,Vicksburg Refinery,32.386262,-90.908069,1.30,23.00,Vicksburg,1978-01-01,2016-12-31
