,attack,blaze,capacity,capacity expansion,capacity reduction,commissioning,cut,cuts,down,downtime,expansion,explosion,fire,inauguration,maintenance,new,newrefinery,outage,problems,reduction,run cuts,runcuts,shutdown,smoke,strike,tar,tars,throughput,turnarounds
maintenance,0.0,0.2178634629787196,0.2298958868451761,0.06502596997993221,0.20994281920428753,0.13342457041679437,0.2833572022317818,0.1711536042047743,0.30044640011510615,0.12964384745394122,0.025550680438429195,0.17669596774911575,0.3520749894453954,0.03713283962523843,1.0,0.0750752745343108,0.0,0.22972704861992643,0.12135703922624083,0.11579524722644859,0.07390494207719069,0.0,0.336076806010759,0.21563716886773102,0.2286837215551973,0.0,0.0,0.2001178602750787,0.12057220831417673
new,0.174464110041199,0.40830776528268486,0.3387661412968579,0.08129212544418205,0.06071135370594066,0.15296833886014063,0.3049581724285675,0.23456040677300233,0.08842853717149408,0.07532481391032488,0.2889912773603748,0.45413174014844443,0.40905877320216927,0.3017955592733605,0.0750752745343108,1.0,0.3682872189797765,0.23708929596435216,0.005244090126840081,0.29374985712709484,0.02643838089946786,0.0,0.27848228514676304,0.4712850065921552,0.24076620881046257,0.4653709682232684,0.07013322047630775,0.2082728681081576,0.12323675428548599
newrefinery,0.0,0.0,0.1559929057300945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3682872189797765,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outage,0.1659746444547995,0.1428288995985836,0.17936637529890753,0.0,0.03711221634445836,0.00974835540692435,0.3987262193083164,0.44993834572146957,0.2850376421664699,0.0,0.021758476099864324,0.18685607965111298,0.06318171358299286,0.0,0.22972704861992643,0.23708929596435216,0.0,1.0,0.21557988894504201,0.0007584089307237298,0.0,0.0,0.1959323190867399,0.4348989336663518,0.2101029983174297,0.19071051591599847,0.27006939655182527,0.022245346471434585,0.0
problems,1.0,0.42748440660220416,0.11608333011366863,0.04212152351691284,0.0,0.08516496459514852,0.19389890539196514,0.1644705058880526,0.24647231112231693,0.0,0.10348759776753706,0.2622656038240571,0.18145622394047695,0.1820892415581922,0.12135703922624083,0.005244090126840081,0.0,0.21557988894504201,1.0,0.0441120340034939,0.3081753835709585,0.0,0.26721963249456254,0.47525785031597023,0.20459240050928598,0.07366455640808914,0.0,0.08892534619973277,0.0
reduction,0.0,0.16703615775093417,0.3532748685701199,0.007823552504954218,0.5474397965882568,0.049578820325271326,0.2387304745787715,0.20174962602501437,0.0967389362277519,0.0,0.021182234361745732,0.2765565517848858,0.10344684580463404,0.17651686204695177,0.11579524722644859,0.29374985712709484,0.0,0.0007584089307237298,0.0441120340034939,1.0,0.6474562265499488,0.0,0.07640194040276832,0.6030075648106281,0.09840294820310377,0.044112034003494345,0.058386567798648814,0.5185945275233803,0.0
run cuts,0.13850025789853446,0.0,0.02928652253538406,0.0,0.0,0.009748355406924102,0.2711456786576843,0.6687555781372541,0.0317735518891036,0.059924517228814256,0.0,0.13442251293496038,0.0,0.0,0.07390494207719069,0.02643838089946786,0.0,0.0,0.3081753835709585,0.6474562265499488,1.0,0.13635986820663656,0.17115950762629326,0.0,0.0,0.0,0.0,0.39912017397997424,0.011386813666916545
runcuts,0.0,0.0,0.06252349609987023,0.0,0.0,0.0,0.09263392581355853,0.1320946460232685,0.0,0.0685215876322696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13635986820663656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shutdown,0.019122941339472982,0.10010601421724992,0.2597865344937885,0.023525069905887777,0.0029302895176572087,0.08288482527254194,0.2266610530405396,0.09926464379187623,0.2818186376273367,0.04072254745540478,0.06765863760915183,0.12152433761202197,0.18919762999273956,0.0,0.336076806010759,0.27848228514676304,0.0,0.1959323190867399,0.26721963249456254,0.07640194040276832,0.17115950762629326,0.0,1.0,0.0769553902821718,0.15855951749458722,0.19168142890542417,0.0,0.0,0.04591686988160951
smoke,0.44962418653132,0.5756669179575256,0.3632133752296207,0.0,0.0,0.028248231128775888,1.0,0.01033459746023737,0.05565601338333106,0.0,0.0,0.40986657924002484,0.5184959250341149,0.0,0.21563716886773102,0.4712850065921552,0.0,0.4348989336663518,0.47525785031597023,0.6030075648106281,0.0,0.0,0.0769553902821718,1.0,0.1450907530548364,0.30723024107075336,0.0,0.0,0.05320699288358968
strike,0.3744509150039399,0.08543316468796668,0.21479640921263246,0.0,0.0,0.016922745556624028,0.24388875607452884,0.34822132359278873,0.21359910575185614,0.0,0.06666062982028512,0.13403706629500428,0.17399380101658937,0.0,0.2286837215551973,0.24076620881046257,0.0,0.2101029983174297,0.20459240050928598,0.09840294820310377,0.0,0.0,0.15855951749458722,0.1450907530548364,1.0,0.03440930249007051,0.0,0.012934710407960216,0.4677071733467424
tar,0.4630328006481419,0.0,0.11013575600041303,0.029000078823512243,0.0,0.0,0.0020485452585521425,0.1776379760171404,0.035028350335261686,0.02291943768655756,0.04227003477369917,0.10612757407557886,0.10228136672306157,0.06017555004663007,0.0,0.4653709682232684,0.0,0.19071051591599847,0.07366455640808914,0.044112034003494345,0.0,0.0,0.19168142890542417,0.30723024107075336,0.03440930249007051,1.0,0.16902431697662326,0.02287206483168618,0.0
tars,0.061896649630895376,0.02597544125230304,0.12400446115011783,0.0,0.0,0.0,0.0,0.006363988630108083,0.002354145104292997,0.0,0.0,0.029338464950399584,0.05943051194791634,0.0,0.0,0.07013322047630775,0.0,0.27006939655182527,0.0,0.058386567798648814,0.0,0.0,0.0,0.0,0.0,0.16902431697662326,1.0,0.054391940869896675,0.0
throughput,0.01000570973125383,0.03749037058496895,0.2663353810552014,0.0,0.0,0.0,0.3110781252196117,0.22468623877220772,0.2062879151992448,0.0,0.36783438336266217,0.0,0.4319602351160265,0.0,0.2001178602750787,0.2082728681081576,0.0,0.022245346471434585,0.08892534619973277,0.5185945275233803,0.39912017397997424,0.0,0.0,0.0,0.012934710407960216,0.02287206483168618,0.054391940869896675,1.0,0.08090493533325972
turnarounds,0.0,0.0,0.06794202421535235,0.0,0.0,0.0053329132664423256,0.0,0.04175805486574924,0.14763123820609683,0.36158505642982885,0.0020768211999527644,0.08385636545485367,0.0,0.0,0.12057220831417673,0.12323675428548599,0.0,0.0,0.0,0.0,0.011386813666916545,0.0,0.04591686988160951,0.05320699288358968,0.4677071733467424,0.0,0.0,0.08090493533325972,1.0
