id,initial,match,type
5105,Axion Energy Argentina SA,axion energy argentina sa,ownername
5076,Bahrain Petroleum,bahrain petroleum,ownername
5076,Bahrain Petroleum,bahrainpetroleum,ownername
5156,Bangchak Petroleum,bangchak petroleum,ownername
5156,Bangchak Petroleum,bangchakpetroleum,ownername
5149,Bangladesh Petroleum Corporation,bangladesh petroleum corporation,ownername
5149,Bangladesh Petroleum Corporation,bangladeshpetroleumcorporation,ownername
5149,Bangladesh Petroleum Corporation,bangladeshpetroleum,ownername
5027,Banias Refining,banias refining,ownername
5027,Banias Refining,baniasrefining,ownername
16054,Baota Petrochemical Group,baota petrochemical group,ownername
16054,Baota Petrochemical Group,baotapetrochemicalgroup,ownername
16054,Baota Petrochemical Group,baotapetrochemical,ownername
16095,Baota Petrochemical Group,baota petrochemical group,ownername
16095,Baota Petrochemical Group,baotapetrochemicalgroup,ownername
16095,Baota Petrochemical Group,baotapetrochemical,ownername
16105,Baota Petrochemical Group,baota petrochemical group,ownername
16105,Baota Petrochemical Group,baotapetrochemicalgroup,ownername
16105,Baota Petrochemical Group,baotapetrochemical,ownername
16116,Baota Petrochemical Group,baota petrochemical group,ownername
16116,Baota Petrochemical Group,baotapetrochemicalgroup,ownername
16116,Baota Petrochemical Group,baotapetrochemical,ownername
16145,Baota Petrochemical Group,baota petrochemical group,ownername
16145,Baota Petrochemical Group,baotapetrochemicalgroup,ownername
16145,Baota Petrochemical Group,baotapetrochemical,ownername
5095,Bashneft,bashneft,ownername
5096,Bashneft,bashneft,ownername
5097,Bashneft,bashneft,ownername
5026,Bazan Group,bazan group,ownername
5026,Bazan Group,bazangroup,ownername
5128,Bharat Oman Refineries,bharat oman refineries,ownername
5128,Bharat Oman Refineries,bharatomanrefineries,ownername
5128,Bharat Oman Refineries,bharatoman,ownername
5132,Bharat Petroleum,bharat petroleum,ownername
5132,Bharat Petroleum,bharatpetroleum,ownername
9731,Bharat Petroleum,bharat petroleum,ownername
9731,Bharat Petroleum,bharatpetroleum,ownername
4659,Big West Oil,big west oil,ownername
4659,Big West Oil,bigwestoil,ownername
4659,Big West Oil,bigwest,ownername
4691,Blue Dolphin Energy,blue dolphin energy,ownername
4691,Blue Dolphin Energy,bluedolphinenergy,ownername
4691,Blue Dolphin Energy,bluedolphin,ownername
16163,Blue Star Daqing Petroleum,blue star daqing petroleum,ownername
16066,Blue-star Petrochemical,blue-star petrochemical,ownername
16066,Blue-star Petrochemical,blue-starpetrochemical,ownername
5104,Bosicor Pakistan,bosicor pakistan,ownername
